,gmkey,ast,twop,threep,freep,offr,ppp,dk,defr,stl,bs,foul,tf,gd,score
6832,S37G01N244,0.5945945945945946,0.4724770642201835,0.3103448275862069,0.7966101694915254,0.3526011560693642,0.5352112676056338,1.0,0.7324840764331211,0.6153846153846154,0.030030030030030033,0.5531914893617021,0.6,0.6,73
6833,S37G01N245,0.52,0.5022026431718062,0.30508474576271183,0.6833333333333332,0.3032258064516129,0.5706214689265536,1.0,0.7422680412371134,0.4657534246575342,0.014792899408284025,0.45783132530120474,,0.0,84
6834,S37G01N246,0.610738255033557,0.5039370078740159,0.23595505617977527,0.78125,0.34554973821989526,0.5495049504950495,1.0,0.6616915422885572,0.5076923076923077,0.0625,0.5325443786982249,1.0,0.5714285714285715,64
6835,S37G01N247,0.6125,0.502262443438914,0.42608695652173917,0.7777777777777778,0.2597402597402597,0.5214723926380368,1.0,0.671957671957672,0.5357142857142857,0.05397727272727272,0.49704142011834324,0.4,0.6666666666666666,79
6836,S37G01N248,0.5328947368421053,0.5462555066079295,0.29473684210526313,0.7160493827160493,0.23529411764705882,0.6058823529411765,0.8181818181818181,0.6918604651162791,0.5375,0.04748603351955308,0.5245901639344263,0.0,0.28571428571428575,87
6837,S37G01N249,0.5256410256410257,0.5217391304347826,0.30508474576271183,0.7833333333333333,0.29120879120879123,0.5777777777777778,1.0,0.6746411483253589,0.4931506849315068,0.010526315789473684,0.4838709677419355,,0.0,91
6838,S37G01N25,0.5782312925170068,0.4788732394366197,0.34090909090909094,0.7448979591836734,0.2864864864864865,0.5168539325842696,0.5,0.7109826589595376,0.5333333333333333,0.026706231454005934,0.5,1.0,0.5,90
6839,S37G01N250,0.6037735849056604,0.5107296137339056,0.3418803418803419,0.8243243243243242,0.3417085427135679,0.5944444444444444,1.0,0.7336956521739131,0.4848484848484849,0.06528189910979229,0.47204968944099374,,0.2,77
6840,S37G01N251,0.5838926174496644,0.47031963470319643,0.30666666666666664,0.7011494252873564,0.3922651933701657,0.4879518072289156,1.0,0.6874999999999999,0.3815789473684211,0.030898876404494385,0.4742268041237113,0.5,0.4,82
6841,S37G01N252,0.5792682926829269,0.5893719806763285,0.32558139534883723,0.6521739130434783,0.29268292682926833,0.6666666666666667,0.888888888888889,0.75,0.39344262295081966,0.04938271604938272,0.48205128205128206,,0.8,77
6842,S37G01N253,0.49438202247191015,0.5232067510548524,0.4122137404580153,0.7083333333333333,0.3125,0.580110497237569,1.0,0.7037037037037038,0.4931506849315068,0.05187319884726224,0.46107784431137727,,0.625,79
6843,S37G01N254,0.4807692307692308,0.5482456140350876,0.2767857142857143,0.7586206896551725,0.2888888888888889,0.6033519553072627,1.0,0.7094972067039106,0.47297297297297297,0.0110803324099723,0.45625,0.0,0.0,96
6844,S37G01N255,0.6011904761904762,0.49823321554770317,0.32142857142857145,0.7868852459016393,0.30526315789473685,0.5474137931034483,1.0,0.7487437185929648,0.5263157894736842,0.044444444444444446,0.5352941176470588,0.0,0.5714285714285715,74
6845,S37G01N256,0.6339869281045751,0.49781659388646293,0.33050847457627114,0.8024691358024691,0.3654822335025381,0.5862068965517242,1.0,0.7391304347826088,0.47826086956521735,0.053824362606232294,0.4691358024691358,0.0,0.0,65
6846,S37G01N257,0.5875,0.5829145728643216,0.3165467625899281,0.6818181818181819,0.26627218934911245,0.6842105263157894,0.9090909090909091,0.7567567567567568,0.393939393939394,0.042944785276073615,0.4558823529411765,,0.888888888888889,95
6847,S37G01N258,0.5164835164835165,0.5474137931034483,0.4230769230769231,0.7567567567567567,0.3036649214659686,0.6057142857142856,1.0,0.7383720930232558,0.5416666666666667,0.05367231638418079,0.47297297297297297,0.3333333333333333,0.6666666666666666,97
6848,S37G01N259,0.6346153846153847,0.5242290748898679,0.3162393162393163,0.8,0.3139013452914798,0.611764705882353,1.0,0.7016574585635358,0.49333333333333335,0.05205479452054794,0.44444444444444436,0.0,0.0,83
6849,S37G01N26,0.45962732919254656,0.5377358490566038,0.3381294964028777,0.717391304347826,0.305699481865285,0.5780346820809248,0.7333333333333334,0.6958762886597939,0.47887323943661975,0.04481792717086835,0.516304347826087,0.0,0.25,82
6850,S37G01N260,0.5755395683453237,0.4604651162790698,0.31007751937984496,0.8333333333333334,0.3035714285714286,0.5248226950354611,1.0,0.6585365853658538,0.47058823529411764,0.028089887640449437,0.5126903553299492,1.0,0.6666666666666667,78
6851,S37G01N261,0.474025974025974,0.5041322314049587,0.2962962962962963,0.7846153846153846,0.3224043715846995,0.5515463917525774,0.6666666666666667,0.7431693989071038,0.6,0.014450867052023121,0.4431818181818181,,0.0,83
6852,S37G01N262,0.6103896103896104,0.574766355140187,0.2743362831858407,0.7037037037037037,0.23170731707317074,0.6214689265536724,0.8666666666666667,0.6082474226804124,0.5652173913043478,0.05913978494623656,0.545,0.0,0.4,92
6853,S37G01N263,0.5870967741935483,0.5194805194805194,0.3181818181818182,0.7402597402597403,0.3031674208144796,0.6265060240963856,1.0,0.6612903225806451,0.5142857142857143,0.05039787798408488,0.455621301775148,0.0,0.0,79
6854,S37G01N264,0.5602836879432624,0.5074626865671641,0.312,0.8461538461538463,0.26519337016574585,0.5839416058394161,1.0,0.6875,0.5492957746478874,0.02724795640326975,0.580110497237569,1.0,0.6666666666666667,92
6855,S37G01N265,0.5786163522012578,0.5045045045045045,0.30718954248366015,0.7362637362637363,0.3401015228426396,0.519774011299435,1.0,0.6702127659574467,0.46875,0.03151862464183382,0.5348837209302325,1.0,1.0,97
6856,S37G01N266,0.49696969696969695,0.5068493150684932,0.4090909090909091,0.717948717948718,0.32386363636363635,0.5419354838709678,0.8749999999999999,0.7127659574468085,0.46052631578947373,0.05817174515235457,0.5508982035928144,0.5,0.6,98
6857,S37G01N267,0.6257309941520467,0.5311355311355311,0.2954545454545454,0.6799999999999999,0.3076923076923077,0.5758928571428572,0.95,0.7009803921568628,0.546875,0.04278074866310161,0.4947368421052632,0.5,0.6666666666666666,88
6858,S37G01N268,0.46285714285714286,0.5289256198347108,0.3949579831932773,0.7571428571428571,0.3128834355828221,0.5934065934065935,1.0,0.717948717948718,0.48809523809523814,0.059375,0.4310344827586207,0.3333333333333333,0.4666666666666666,70
6859,S37G01N269,0.5636363636363637,0.5794871794871795,0.36363636363636365,0.6911764705882354,0.2622950819672131,0.7000000000000001,0.8749999999999999,0.6923076923076923,0.3770491803278688,0.03592814371257485,0.5444444444444445,,1.0,76
6860,S37G01N27,0.5975609756097562,0.5228215767634854,0.35514018691588783,0.7452830188679246,0.2905027932960894,0.5555555555555556,1.0,0.6684210526315789,0.5411764705882353,0.0509915014164306,0.4968553459119497,,1.0,73
6861,S37G01N270,0.6228571428571429,0.5166051660516605,0.2966101694915254,0.7816091954022989,0.3111111111111111,0.586046511627907,1.0,0.6989795918367346,0.4375,0.033426183844011144,0.45962732919254656,,0.3846153846153846,89
6862,S37G01N28,0.6165413533834586,0.4558823529411765,0.27027027027027023,0.8297872340425532,0.38011695906432746,0.5172413793103449,1.0,0.7222222222222222,0.4366197183098592,0.03313253012048193,0.4554455445544554,,0.5714285714285715,78
6863,S37G01N29,0.624203821656051,0.5169491525423728,0.34653465346534656,0.6790123456790124,0.3058823529411765,0.5625000000000001,1.0,0.7554347826086957,0.5322580645161291,0.060000000000000005,0.43814432989690727,,0.5,86
6864,S37G01N3,0.6012269938650306,0.5480769230769231,0.3525179856115108,0.6555555555555556,0.29213483146067415,0.65,0.9,0.626865671641791,0.43478260869565216,0.02425876010781671,0.4974358974358974,0.5,0.7499999999999999,85
6865,S37G01N30,0.5405405405405405,0.47767857142857145,0.32539682539682535,0.74,0.3085714285714286,0.5263157894736842,0.6666666666666667,0.664864864864865,0.4235294117647059,0.021798365122615803,0.5384615384615384,1.0,0.5714285714285715,72
6866,S37G01N31,0.5384615384615385,0.5238095238095237,0.36458333333333337,0.719298245614035,0.3093922651933701,0.5568181818181818,1.0,0.6559139784946235,0.4235294117647059,0.05405405405405406,0.5027624309392265,1.0,0.4,87
6867,S37G01N32,0.6274509803921569,0.5324675324675324,0.30303030303030304,0.6818181818181818,0.2824858757062147,0.5873015873015873,1.0,0.7471910112359551,0.5205479452054794,0.053797468354430375,0.5128205128205129,,0.6666666666666666,65
6868,S37G01N33,0.49397590361445776,0.5635593220338982,0.25781249999999994,0.75,0.3114754098360656,0.625,1.0,0.6169154228855721,0.5555555555555556,0.05555555555555556,0.4943181818181817,,0.43749999999999994,86
6869,S37G01N34,0.5972222222222222,0.47297297297297297,0.3046875,0.7383177570093459,0.36309523809523814,0.5191256830601093,1.0,0.6510416666666667,0.49333333333333335,0.025568181818181816,0.4893617021276596,1.0,0.3333333333333333,67
6870,S37G01N35,0.4647058823529412,0.5677966101694915,0.34615384615384615,0.7702702702702703,0.25142857142857145,0.6686046511627908,1.0,0.6867469879518072,0.4117647058823529,0.07317073170731708,0.541871921182266,1.0,0.5,73
6871,S37G01N36,0.5364238410596026,0.4957983193277311,0.33673469387755095,0.7419354838709677,0.3121693121693122,0.5325443786982249,1.0,0.6188118811881188,0.5333333333333333,0.04594594594594594,0.46703296703296704,0.0,0.6,84
6872,S37G01N37,0.6978417266187049,0.4684684684684685,0.26717557251908397,0.8260869565217391,0.3316831683168317,0.5503355704697986,1.0,0.6564417177914111,0.47297297297297297,0.03757225433526012,0.5161290322580645,,0.6666666666666666,77
6873,S37G01N38,0.5743243243243243,0.5217391304347826,0.30107526881720426,0.7222222222222222,0.2831325301204819,0.5771428571428571,1.0,0.6448598130841122,0.4647887323943662,0.044386422976501305,0.45294117647058824,,0.3,79
6874,S37G01N39,0.4932432432432432,0.5324074074074073,0.351063829787234,0.7204301075268816,0.2701149425287357,0.5483870967741935,1.0,0.7089947089947091,0.38461538461538464,0.05865921787709498,0.4585987261146497,,0.3333333333333333,78
6875,S37G01N4,0.6223776223776224,0.4623115577889447,0.3695652173913043,0.7702702702702703,0.3081081081081081,0.539568345323741,1.0,0.6404494382022472,0.4696969696969697,0.0335195530726257,0.5310734463276835,,0.8,90
6876,S37G01N40,0.5068493150684932,0.5178571428571429,0.3061224489795918,0.75,0.2702702702702703,0.5555555555555555,1.0,0.7219251336898396,0.47058823529411764,0.04424778761061947,0.48026315789473684,,0.18181818181818182,69
6877,S37G01N41,0.6473988439306357,0.5238095238095238,0.3628318584070796,0.7285714285714285,0.41340782122905034,0.5459459459459459,0.7272727272727273,0.7515151515151516,0.5714285714285714,0.0393939393939394,0.4630541871921182,0.5,0.4,77
6878,S37G01N42,0.5562913907284769,0.5103734439834025,0.3111111111111111,0.7530864197530864,0.2789473684210526,0.5542857142857143,1.0,0.6791443850267379,0.5189873417721519,0.047752808988764044,0.4647058823529412,,0.6,95
6879,S37G01N43,0.4965986394557823,0.5185185185185185,0.3365384615384615,0.7792207792207793,0.3012048192771084,0.5446428571428571,0.8,0.6487804878048781,0.43333333333333335,0.06469002695417789,0.41566265060240964,0.0,0.33333333333333337,83
6880,S37G01N44,0.5,0.488,0.2905982905982906,0.7654320987654322,0.3965517241379311,0.5330188679245284,1.0,0.7611111111111111,0.582089552238806,0.030959752321981428,0.4148936170212766,0.0,0.4285714285714286,79
6881,S37G01N45,0.5973154362416108,0.5021097046413503,0.3225806451612903,0.7444444444444445,0.34591194968553457,0.5428571428571428,1.0,0.6335078534031413,0.5443037974683543,0.03724928366762178,0.46448087431693985,,0.5,78
6882,S37G01N46,0.430379746835443,0.5301724137931035,0.2755905511811024,0.6973684210526316,0.3125,0.5944055944055944,1.0,0.6294416243654822,0.5443037974683543,0.061111111111111116,0.48520710059171596,0.0,0.888888888888889,93
6883,S37G01N47,0.5170068027210885,0.5196506550218342,0.2916666666666667,0.7272727272727273,0.3254437869822486,0.563953488372093,1.0,0.6548223350253808,0.43548387096774194,0.029810298102981032,0.4397590361445783,0.0,0.3333333333333333,78
6884,S37G01N48,0.5434782608695652,0.48309178743961356,0.34545454545454546,0.7534246575342466,0.28272251308900526,0.495575221238938,0.8,0.6963350785340314,0.4153846153846154,0.06424581005586592,0.45569620253164556,,0.5,73
6885,S37G01N49,0.4675324675324675,0.4897119341563786,0.2916666666666667,0.7752808988764045,0.3922651933701657,0.5288461538461539,1.0,0.6918918918918919,0.5254237288135593,0.025423728813559324,0.4787878787878788,0.0,0.3333333333333333,71
6886,S37G01N5,0.6540880503144654,0.5231481481481481,0.323943661971831,0.6625,0.3315217391304348,0.5732484076433121,1.0,0.654320987654321,0.5,0.03880597014925373,0.5079365079365079,,0.6666666666666667,86
6887,S37G01N50,0.4938271604938272,0.568075117370892,0.4141414141414141,0.7619047619047619,0.2095808383233533,0.6257309941520467,1.0,0.6242774566473989,0.4444444444444445,0.07458563535911603,0.5865921787709497,1.0,1.0,82
